nodes,edge_prob,runtime
64,1.0,0.0579792000062298
64,1.0,0.05825479999475647
64,1.0,0.08199200000672136
64,1.0,0.05790800000249874
64,1.0,0.05848439999681432
128,0.1,0.028453800012357533
128,0.1,0.02798179999808781
128,0.1,0.030015299998922274
128,0.1,0.029464199993526563
128,0.1,0.029625000010128133
128,0.1,0.029392600001301616
128,0.1,0.031290599989006296
128,0.1,0.029949599993415177
128,0.1,0.029122799998731352
128,0.1,0.030574099990190007
128,0.2,0.05357390000426676
128,0.2,0.05367310000292491
128,0.2,0.05292170000029728
128,0.2,0.05483519998961128
128,0.2,0.052320599992526695
128,0.2,0.052022899995790794
128,0.2,0.05506539999623783
128,0.2,0.05504619999555871
128,0.2,0.054984599992167205
128,0.2,0.05841669999063015
128,0.4,0.09996600000886247
128,0.4,0.09863589999440592
128,0.4,0.09666129999095574
128,0.4,0.10007330001099035
128,0.4,0.10101139999460429
128,0.4,0.09887370000069495
128,0.4,0.09828510000079405
128,0.4,0.09878359999856912
128,0.4,0.09801590000279248
128,0.4,0.10002330000861548
128,0.6,0.143815799994627
128,0.6,0.1495091999968281
128,0.6,0.14335009999922477
128,0.6,0.14371630000823643
128,0.6,0.14251009999134112
128,0.6,0.1482551999943098
128,0.6,0.15023649999056943
128,0.6,0.14554910000879318
128,0.6,0.13808679999783635
128,0.6,0.13602710000122897
128,0.8,0.1812636999966344
128,0.8,0.1822015000070678
128,0.8,0.18389089999254793
128,0.8,0.1911882999993395
128,0.8,0.1844835000083549
128,0.8,0.184743099991465
128,0.8,0.22193020000122488
128,0.8,0.18478480000339914
128,0.8,0.18509100000665057
128,0.8,0.19374829999287613
128,1.0,0.23484879999887198
128,1.0,0.24299060000339523
128,1.0,0.23695809999480844
128,1.0,0.2511547000030987
128,1.0,0.2405014999967534
128,1.0,0.23009430000092834
128,1.0,0.22607439999410417
128,1.0,0.2236479999992298
128,1.0,0.2244395000016084
128,1.0,0.22424080000200775
256,0.1,0.1070122000091942
256,0.1,0.10762039999826811
256,0.1,0.10969939999631606
256,0.1,0.10831170000892598
256,0.1,0.1074306000082288
256,0.1,0.10831480000342708
256,0.1,0.10678960000223015
256,0.1,0.11113900000054855
256,0.1,0.11966430000029504
256,0.1,0.10909579999861307
256,0.2,0.21713619999354705
256,0.2,0.21219179999025073
256,0.2,0.20730039999762084
256,0.2,0.20141389999480452
256,0.2,0.19978419999824837
256,0.2,0.19944550000946037
256,0.2,0.1967414000100689
256,0.2,0.20686009999189992
256,0.2,0.20061590000113938
256,0.2,0.20436760000302456
256,0.4,0.398468800005503
256,0.4,0.4245748000103049
256,0.4,0.4321083999966504
256,0.4,0.41929000000527594
256,0.4,0.4494256000034511
256,0.4,0.452378799993312
256,0.4,0.40896410000277683
256,0.4,0.4043292999995174
256,0.4,0.4032854999968549
256,0.4,0.41471899999305606
256,0.6,0.6096495000092546
256,0.6,0.6195762999996077
256,0.6,0.6505879000033019
256,0.6,0.6216994999995222
256,0.6,0.6206231000105618
256,0.6,0.6149415999971097
256,0.6,0.6189610000001267
256,0.6,0.5870804000005592
256,0.6,0.6275705000007292
256,0.6,0.5970464999991236
256,0.8,0.8426678000105312
256,0.8,0.8927942000009352
256,0.8,0.8578322999965167
256,0.8,0.815198700001929
256,0.8,0.8107965999952285
256,0.8,0.8933144999900833
256,0.8,0.8127514000079827
256,0.8,0.8736710999946808
256,0.8,0.8560140999907162
256,0.8,0.8457137000077637
256,1.0,1.0271581999986665
256,1.0,1.0155357999901753
256,1.0,1.0507293999980902
256,1.0,1.0087266999908024
256,1.0,1.0774670999962837
256,1.0,1.0551697999908356
256,1.0,1.037631400002283
256,1.0,1.0121348000102444
256,1.0,1.009205300011672
256,1.0,1.0120529000123497
512,0.1,0.46640730000217445
512,0.1,0.48844329999701586
512,0.1,0.48555729999498
512,0.1,0.4792271000042092
512,0.1,0.49691999999049585
512,0.1,0.5068044000072405
512,0.1,0.47539839999808464
512,0.1,0.4720750999986194
512,0.1,0.44893600000068545
512,0.1,0.4403029999957653
512,0.2,0.9521392000024207
512,0.2,0.905337000003783
512,0.2,0.9043152999947779
512,0.2,0.9302323000010801
512,0.2,0.9233848999865586
512,0.2,0.9160093999962555
512,0.2,0.8868948000017554
512,0.2,0.8760725999891292
512,0.2,0.9156106000009459
512,0.2,0.9554378000029828
512,0.4,1.861629199993331
512,0.4,1.8668625000136672
512,0.4,1.8337629999878118
512,0.4,1.8428152999986196
512,0.4,1.8961350000026869
512,0.4,1.8207980999868596
512,0.4,1.811992500006454
512,0.4,1.811282000009669
512,0.4,1.8554659000074025
512,0.4,1.8329723999922862
