nodes,edge_prob,runtime
256,0.2,0.022282699996139854
256,0.2,0.021598299994366243
256,0.2,0.028493699996033683
256,0.2,0.02748530000098981
256,0.2,0.02824910001072567
256,0.2,0.028100600000470877
256,0.2,0.028949500003363937
256,0.2,0.02806689999124501
256,0.4,0.044197700000950135
256,0.4,0.042080400002305396
256,0.4,0.043422099988674745
256,0.4,0.04311759999836795
256,0.4,0.04408500000135973
256,0.4,0.043873999995412305
256,0.4,0.04316980000294279
256,0.4,0.043140800000401214
256,0.4,0.04285139999410603
256,0.4,0.04465870000422001
256,0.6,0.06529189999855589
256,0.6,0.06542640000407118
256,0.6,0.06430990000080783
256,0.6,0.06640650000190362
256,0.6,0.06749109999509528
256,0.6,0.06519569999363739
256,0.6,0.06567399999767076
256,0.6,0.0678372000111267
256,0.6,0.06544920000305865
256,0.6,0.06555650000518654
256,0.8,0.08859630000370089
256,0.8,0.08875850000185892
256,0.8,0.08844459999818355
256,0.8,0.1125573000026634
256,0.8,0.11148279999906663
256,0.8,0.11331929999869317
256,0.8,0.0897837999946205
256,0.8,0.09030840000195894
256,0.8,0.11224639999272767
256,0.8,0.08948640000016894
256,1.0,0.10912649999954738
256,1.0,0.10903070001222659
256,1.0,0.10884280000755098
256,1.0,0.10899330000393093
256,1.0,0.10944849999214057
256,1.0,0.11047929999767803
256,1.0,0.1389739999867743
256,1.0,0.11156590000609867
256,1.0,0.1144475000037346
256,1.0,0.11075790000904817
512,0.1,0.046814800007268786
512,0.1,0.04641789999732282
512,0.1,0.04661920000216924
512,0.1,0.04648360000282992
512,0.1,0.046723799998289905
512,0.1,0.046142999999574386
512,0.1,0.047130599996307865
512,0.1,0.04650729999411851
512,0.1,0.047200400003930554
512,0.1,0.04704150000179652
512,0.2,0.09738069999730214
512,0.2,0.1177109999989625
512,0.2,0.09325130000070203
512,0.2,0.09263410000130534
512,0.2,0.09430260000226554
512,0.2,0.09283169999253005
512,0.2,0.0920209000032628
512,0.2,0.0917226000019582
512,0.2,0.09238519999780692
512,0.2,0.09150840000074822
512,0.4,0.18592630000784993
512,0.4,0.18998510000528768
512,0.4,0.1898290000099223
512,0.4,0.18235059999278747
512,0.4,0.23448179999832064
512,0.4,0.18068900000071153
512,0.4,0.19143479999911506
512,0.4,0.18923399999039248
512,0.4,0.1856868999893777
512,0.4,0.23392909999529365
512,0.6,0.2972101999912411
512,0.6,0.27922949999629054
512,0.6,0.32219190000614617
512,0.6,0.2913037999969674
512,0.6,0.29225909999513533
512,0.6,0.29656029999023303
512,0.6,0.29367159999674186
512,0.6,0.30079389999445993
512,0.6,0.29464290000032634
512,0.6,0.30768280000484083
512,0.8,0.39055009999719914
512,0.8,0.3829340999945998
512,0.8,0.37810929999977816
512,0.8,0.37741849999292754
512,0.8,0.38348109999787994
512,0.8,0.4830113999923924
512,0.8,0.36429579999821726
512,0.8,0.37802669999655336
512,0.8,0.3769097999902442
512,0.8,0.47205169999506325
512,1.0,0.5784420999989379
512,1.0,0.4622142000007443
512,1.0,0.5826425999985076
512,1.0,0.4632241000072099
512,1.0,0.45882449999044184
512,1.0,0.4623957000003429
512,1.0,0.4687007000029553
512,1.0,0.4754073999938555
512,1.0,0.48594909999519587
512,1.0,0.5115919000090798
1024,0.1,0.19459440000355244
1024,0.1,0.19665969999914523
1024,0.1,0.19781159999547526
1024,0.1,0.1987985000014305
1024,0.1,0.2459993999946164
1024,0.1,0.19705919999978505
1024,0.1,0.18777079999563284
1024,0.1,0.24399050000647549
1024,0.1,0.1959350999968592
1024,0.1,0.1887808000028599
1024,0.2,0.3973998000001302
1024,0.2,0.3908761000056984
1024,0.2,0.4032422000018414
1024,0.2,0.39456139999674633
1024,0.2,0.4949894999881508
1024,0.2,0.401978699999745
1024,0.2,0.40127590000338387
1024,0.2,0.4185064000048442
1024,0.2,0.4036442999931751
1024,0.2,0.3946638999914285
1024,0.4,0.8345651999989059
1024,0.4,0.807029399991734
1024,0.4,0.7849912000092445
1024,0.4,0.7955784999940079
1024,0.4,0.81158609999693
1024,0.4,0.7863642000011168
1024,0.4,0.8104928999964613
1024,0.4,0.8299693000008119
1024,0.4,0.8227809000090929
1024,0.4,0.8043643999990309
1024,0.6,1.2241301000030944
1024,0.6,1.2074628999980632
1024,0.6,1.2078463999932865
1024,0.6,1.2570100000011735
1024,0.6,1.2116757000039797
1024,0.6,1.2247743000043556
1024,0.6,1.2135772000037832
1024,0.6,1.2086438999976963
1024,0.6,1.2724393000098644
1024,0.6,1.2494233000034
1024,0.8,1.6944706999929622
1024,0.8,1.5873182999930577
1024,0.8,1.610573600002681
1024,0.8,1.6561837000044761
1024,0.8,1.6340631999919424
